17:55:06.040 -> 
17:55:06.040 -> 
17:55:06.040 -> Starting state machine
17:55:06.040 -> 
17:55:06.040 -> 
17:55:06.040 -> Initializing SD card ... done!
17:55:06.771 -> Next available file is 00075.txt
17:55:06.771 -> Creating file 00075.txt ... done!
17:55:06.804 -> Transitioning to state INITIALIZE
17:55:06.804 -> Transitioning to state 12V_REG_ENABLE
17:55:06.804 -> Transitioning to state DELAY [500]
17:55:07.302 -> Transitioning to state ELECTROMETER_ENABLE
17:55:07.302 -> Transitioning to state DELAY [3000]
17:55:26.126 -> 125024, 5, 20109, 315785, 616, 512.638, 407, 0.662
17:55:26.226 -> 125064, 6, 20234, 316288, 617, 512.622, 395, 0.641
17:55:26.358 -> 125128, 7, 20360, 316250, 617, 512.561, 386, 0.627
17:55:26.491 -> 125008, 0, 20485, 316280, 617, 512.610, 422, 0.685
17:55:26.623 -> 125068, 1, 20610, 315734, 616, 512.555, 408, 0.663
17:55:26.723 -> 125100, 2, 20734, 316300, 617, 512.642, 409, 0.664
17:55:26.856 -> 125080, 3, 20859, 316287, 617, 512.621, 423, 0.687
17:55:26.988 -> 125052, 4, 20984, 316791, 618, 512.607, 414, 0.671
17:55:27.121 -> 125068, 5, 21109, 316293, 617, 512.631, 427, 0.693
17:55:27.254 -> 125076, 6, 21235, 316264, 617, 512.583, 385, 0.625
17:55:27.353 -> 124972, 7, 21360, 315733, 616, 512.554, 365, 0.593
17:55:27.486 -> 125136, 0, 21485, 316778, 618, 512.585, 382, 0.619
17:55:27.619 -> 125060, 1, 21610, 316238, 617, 512.541, 352, 0.571
17:55:27.752 -> 125028, 2, 21735, 316319, 617, 512.673, 455, 0.739
17:55:27.852 -> 125108, 3, 21860, 316261, 617, 512.579, 379, 0.615
17:55:27.985 -> 124988, 4, 21985, 316315, 617, 512.666, 467, 0.758
17:55:28.117 -> 125068, 5, 22110, 316283, 617, 512.614, 405, 0.657
17:55:28.251 -> 125136, 6, 22236, 316268, 617, 512.590, 440, 0.714
17:55:28.350 -> 125056, 7, 22361, 316803, 618, 512.626, 459, 0.744
17:55:28.483 -> 125044, 0, 22486, 316285, 617, 512.617, 426, 0.692
17:55:28.616 -> 125084, 1, 22610, 316743, 618, 512.529, 363, 0.588
17:55:28.749 -> 124976, 2, 22735, 316288, 617, 512.622, 422, 0.685
17:55:28.848 -> 125128, 3, 22860, 316283, 617, 512.614, 395, 0.641
17:55:28.981 -> 125064, 4, 22985, 316293, 617, 512.630, 434, 0.705
17:55:29.114 -> 125028, 5, 23110, 316299, 617, 512.640, 473, 0.768
17:55:29.248 -> 125056, 6, 23236, 316267, 617, 512.588, 411, 0.667
17:55:29.348 -> 125084, 7, 23361, 316792, 618, 512.608, 430, 0.697
17:55:29.480 -> 125092, 0, 23486, 316280, 617, 512.609, 397, 0.644
17:55:29.613 -> 125052, 1, 23611, 316239, 617, 512.543, 367, 0.596
17:55:29.746 -> 125008, 2, 23736, 315799, 616, 512.661, 490, 0.797
17:55:29.846 -> 125096, 3, 23861, 316252, 617, 512.564, 378, 0.614
17:55:29.979 -> 125032, 4, 23986, 316271, 617, 512.595, 394, 0.640
17:55:30.112 -> 125120, 5, 24112, 316797, 618, 512.617, 447, 0.724
17:55:30.245 -> 125048, 6, 24237, 316275, 617, 512.602, 395, 0.641
17:55:30.344 -> 125068, 7, 24361, 316271, 617, 512.595, 398, 0.646
17:55:30.477 -> 125092, 0, 24486, 316262, 617, 512.580, 373, 0.606
17:55:30.610 -> 125040, 1, 24611, 316767, 618, 512.568, 389, 0.630
17:55:30.743 -> 125052, 2, 24736, 316269, 617, 512.591, 398, 0.646
17:55:30.843 -> 125092, 3, 24861, 316259, 617, 512.576, 379, 0.615
17:55:30.976 -> 125028, 4, 24986, 316311, 617, 512.659, 505, 0.820
17:55:31.109 -> 125104, 5, 25112, 316325, 617, 512.682, 491, 0.797
17:55:31.242 -> 125044, 6, 25237, 316792, 618, 512.608, 447, 0.724
17:55:31.341 -> 125080, 7, 25362, 316258, 617, 512.574, 401, 0.651
17:55:31.374 -> Transitioning to state STEPPER_RUN_OPENED
17:55:31.374 -> Transitioning to state STEPPER_RUN
17:55:31.374 -> Running stepper in opened direction
17:55:31.474 -> 124992, 0, 25487, 292172, 570, 512.582, 370, 0.650
17:55:31.608 -> 125128, 1, 25612, 291663, 569, 512.589, 341, 0.600
17:55:31.741 -> 125072, 2, 25737, 292684, 571, 512.581, 374, 0.656
17:55:31.840 -> 124996, 3, 25862, 292200, 570, 512.632, 400, 0.703
17:55:31.974 -> 125128, 4, 25987, 292700, 571, 512.609, 374, 0.656
17:55:32.107 -> 125052, 5, 26113, 292171, 570, 512.581, 359, 0.631
17:55:32.240 -> 125032, 6, 26237, 291644, 569, 512.555, 335, 0.590
17:55:32.340 -> 125096, 7, 26362, 292142, 570, 512.530, 331, 0.582
17:55:32.473 -> 125028, 0, 26487, 292203, 570, 512.637, 443, 0.779
17:55:32.606 -> 125116, 1, 26612, 292156, 570, 512.554, 368, 0.647
17:55:32.738 -> 124984, 2, 26737, 291686, 569, 512.629, 406, 0.715
17:55:32.838 -> 125096, 3, 26862, 292160, 570, 512.561, 366, 0.643
17:55:32.971 -> 125068, 4, 26988, 291687, 569, 512.631, 378, 0.665
17:55:33.103 -> 125076, 5, 27113, 292704, 571, 512.616, 377, 0.661
17:55:33.236 -> 125016, 6, 27238, 291650, 569, 512.566, 363, 0.639
17:55:33.369 -> 125096, 7, 27363, 292175, 570, 512.588, 376, 0.661
17:55:33.468 -> 125040, 0, 27488, 291684, 569, 512.626, 421, 0.741
17:55:33.601 -> 125100, 1, 27613, 292141, 570, 512.528, 341, 0.599
17:55:33.733 -> 124996, 2, 27738, 292206, 570, 512.642, 420, 0.738
17:55:33.866 -> 125116, 3, 27863, 292172, 570, 512.582, 355, 0.624
17:55:33.965 -> 125104, 4, 27988, 292212, 570, 512.652, 412, 0.724
17:55:34.098 -> 125036, 5, 28113, 292180, 570, 512.596, 374, 0.657
17:55:34.231 -> 125028, 6, 28238, 291637, 569, 512.543, 346, 0.609
17:55:34.363 -> 125060, 7, 28363, 292683, 571, 512.580, 340, 0.596
17:55:34.463 -> 125092, 0, 28488, 292204, 570, 512.639, 416, 0.731
17:55:34.596 -> 125040, 1, 28613, 292182, 570, 512.600, 394, 0.692
17:55:34.729 -> 125120, 2, 28738, 292188, 570, 512.611, 388, 0.682
17:55:34.861 -> 125016, 3, 28863, 292201, 570, 512.634, 423, 0.743
17:55:34.961 -> 125052, 4, 28989, 292721, 571, 512.646, 435, 0.763
17:55:35.093 -> 125092, 5, 29114, 292222, 570, 512.670, 452, 0.794
17:55:35.226 -> 125048, 6, 29239, 292196, 570, 512.625, 393, 0.691
17:55:35.360 -> 125048, 7, 29364, 291705, 569, 512.662, 409, 0.720
17:55:35.459 -> 125108, 0, 29489, 292177, 570, 512.591, 362, 0.636
17:55:35.592 -> 124988, 1, 29614, 292162, 570, 512.565, 358, 0.629
17:55:35.726 -> 125072, 2, 29739, 292210, 570, 512.649, 416, 0.731
17:55:35.858 -> 125136, 3, 29864, 292181, 570, 512.598, 379, 0.666
17:55:35.991 -> 125012, 4, 29989, 292198, 570, 512.628, 410, 0.721
17:55:36.090 -> 125044, 5, 30114, 291714, 569, 512.678, 447, 0.787
17:55:36.223 -> 125064, 6, 30239, 292679, 571, 512.572, 388, 0.681
17:55:36.355 -> 125108, 7, 30364, 292180, 570, 512.597, 363, 0.638
17:55:36.455 -> 124992, 0, 30489, 292189, 570, 512.612, 403, 0.708
17:55:36.588 -> 125156, 1, 30614, 292156, 570, 512.554, 362, 0.636
17:55:36.720 -> 125048, 2, 30739, 292204, 570, 512.639, 395, 0.694
17:55:36.853 -> 125020, 3, 30865, 292218, 570, 512.663, 443, 0.779
17:55:36.986 -> 125116, 4, 30990, 292722, 571, 512.648, 436, 0.765
17:55:37.085 -> 125024, 5, 31115, 292196, 570, 512.624, 417, 0.733
17:55:37.218 -> 125012, 6, 31240, 292163, 570, 512.567, 363, 0.638
17:55:37.351 -> 125072, 7, 31365, 291702, 569, 512.657, 395, 0.695
17:55:37.483 -> 125144, 0, 31490, 292710, 571, 512.627, 373, 0.654
17:55:37.583 -> 125040, 1, 31614, 292183, 570, 512.602, 403, 0.708
17:55:37.715 -> 125060, 2, 31740, 292208, 570, 512.646, 395, 0.694
17:55:37.848 -> 125020, 3, 31865, 291673, 569, 512.606, 358, 0.630
17:55:37.980 -> 125080, 4, 31990, 292217, 570, 512.661, 425, 0.747
17:55:38.080 -> 125072, 5, 32115, 292754, 571, 512.704, 484, 0.849
17:55:38.212 -> 125064, 6, 32240, 292199, 570, 512.630, 419, 0.736
17:55:38.345 -> 125016, 7, 32365, 292187, 570, 512.609, 380, 0.668
17:55:38.478 -> 125064, 0, 32490, 291688, 569, 512.633, 389, 0.685
17:55:38.577 -> 125124, 1, 32615, 291668, 569, 512.598, 359, 0.632
17:55:38.710 -> 125000, 2, 32741, 292199, 570, 512.630, 383, 0.673
17:55:38.843 -> 125056, 3, 32866, 292198, 570, 512.628, 424, 0.745
17:55:38.975 -> 125092, 4, 32991, 291688, 569, 512.633, 382, 0.673
17:55:39.108 -> 125116, 5, 33116, 292227, 570, 512.679, 426, 0.749
17:55:39.208 -> 125060, 6, 33241, 292178, 570, 512.593, 403, 0.708
17:55:39.341 -> 125036, 7, 33366, 292669, 571, 512.555, 348, 0.611
17:55:39.474 -> 125040, 0, 33490, 292171, 570, 512.581, 377, 0.663
17:55:39.606 -> 125072, 1, 33615, 292128, 570, 512.505, 305, 0.536
17:55:39.706 -> 125092, 2, 33741, 292184, 570, 512.603, 391, 0.687
17:55:39.838 -> 124996, 3, 33866, 292172, 570, 512.582, 358, 0.629
17:55:39.971 -> 125068, 4, 33991, 292188, 570, 512.610, 374, 0.657
17:55:40.104 -> 125088, 5, 34116, 292726, 571, 512.655, 458, 0.804
17:55:40.203 -> 125064, 6, 34241, 292176, 570, 512.589, 392, 0.689
17:55:40.336 -> 125052, 7, 34366, 291688, 569, 512.633, 431, 0.759
17:55:40.469 -> 125044, 0, 34491, 291704, 569, 512.661, 412, 0.725
17:55:40.601 -> 125096, 1, 34617, 292170, 570, 512.579, 360, 0.633
17:55:40.700 -> 125076, 2, 34742, 292222, 570, 512.670, 428, 0.752
17:55:40.833 -> 125044, 3, 34867, 292177, 570, 512.591, 384, 0.675
17:55:40.966 -> 125060, 4, 34992, 291700, 569, 512.654, 407, 0.717
17:55:41.098 -> 125088, 5, 35117, 292206, 570, 512.642, 414, 0.728
17:55:41.198 -> 125076, 6, 35241, 292691, 571, 512.594, 375, 0.658
17:55:41.331 -> 125036, 7, 35366, 292185, 570, 512.605, 369, 0.649
17:55:41.463 -> 125064, 0, 35491, 292196, 570, 512.625, 390, 0.685
17:55:41.596 -> 125076, 1, 35617, 292125, 570, 512.500, 315, 0.554
17:55:41.728 -> 125064, 2, 35742, 292191, 570, 512.616, 385, 0.677
17:55:41.828 -> 125080, 3, 35867, 292693, 571, 512.597, 393, 0.689
17:55:41.961 -> 125068, 4, 35992, 292740, 571, 512.679, 435, 0.763
17:55:42.093 -> 124976, 5, 36117, 292215, 570, 512.658, 446, 0.784
17:55:42.226 -> 125112, 6, 36242, 292175, 570, 512.588, 373, 0.656
17:55:42.325 -> 125016, 7, 36367, 291684, 569, 512.625, 401, 0.706
17:55:42.458 -> 125064, 0, 36492, 292227, 570, 512.679, 434, 0.763
17:55:42.590 -> 125128, 1, 36618, 292125, 570, 512.500, 319, 0.561
17:55:42.723 -> 125064, 2, 36743, 292198, 570, 512.628, 397, 0.698
17:55:42.823 -> 125088, 3, 36868, 292174, 570, 512.586, 364, 0.640
17:55:42.955 -> 124968, 4, 36993, 291703, 569, 512.659, 433, 0.762
17:55:43.088 -> 125128, 5, 37117, 292703, 571, 512.615, 386, 0.677
17:55:43.220 -> 125064, 6, 37242, 292175, 570, 512.588, 378, 0.664
17:55:43.320 -> 125012, 7, 37367, 292184, 570, 512.604, 394, 0.692
17:55:43.452 -> 125052, 0, 37493, 291662, 569, 512.587, 411, 0.724
17:55:43.585 -> 125056, 1, 37618, 291656, 569, 512.576, 369, 0.650
17:55:43.718 -> 125144, 2, 37743, 292704, 571, 512.616, 421, 0.739
17:55:43.850 -> 124992, 3, 37868, 292187, 570, 512.609, 371, 0.652
17:55:43.950 -> 125140, 4, 37993, 292209, 570, 512.647, 395, 0.694
17:55:44.082 -> 125060, 5, 38118, 292733, 571, 512.667, 419, 0.735
17:55:44.215 -> 125052, 6, 38243, 292202, 570, 512.636, 442, 0.777
17:55:44.347 -> 125032, 7, 38368, 292690, 571, 512.592, 376, 0.660
17:55:44.447 -> 125096, 0, 38494, 292189, 570, 512.612, 380, 0.668
17:55:44.579 -> 124992, 1, 38619, 292156, 570, 512.555, 346, 0.608
17:55:44.712 -> 125136, 2, 38744, 292212, 570, 512.653, 413, 0.726
17:55:44.844 -> 124984, 3, 38868, 292182, 570, 512.600, 368, 0.647
17:55:44.944 -> 125096, 4, 38993, 292205, 570, 512.640, 413, 0.726
17:55:45.077 -> 125044, 5, 39118, 292198, 570, 512.628, 394, 0.692
17:55:45.209 -> 125108, 6, 39243, 292188, 570, 512.611, 406, 0.714
17:55:45.342 -> 125040, 7, 39369, 291675, 569, 512.610, 381, 0.671
17:55:45.442 -> 125072, 0, 39494, 292188, 570, 512.610, 382, 0.671
17:55:45.574 -> 125048, 1, 39619, 292158, 570, 512.558, 360, 0.633
17:55:45.707 -> 125072, 2, 39744, 292200, 570, 512.632, 405, 0.712
17:55:45.840 -> 125028, 3, 39869, 291689, 569, 512.635, 394, 0.694
